2152,1059
2627,1371
1978,1027
2559,1256
2315,1220
1945,995
1949,1020
1990,1004
1914,973
6950,1186
1875,965
2002,1027
2145,1068
2119,1080
2186,1168
2023,1025
1963,1033
2325,1246
1931,1039
1824,944
2131,1064
1941,1000
1898,987
1973,994
1927,990
1920,975
6928,1169
1925,973
1885,954
1864,956
2102,1067
3298,1680
2012,1057
2107,1029
1950,1016
2082,1131
1967,1066
1944,1014
1906,990
1895,974
1906,983
1914,975
1892,982
6916,1168
1904,971
1868,956
1845,952
1897,996
1892,987
2075,1035
2082,1067
1988,1027
2208,1201
2095,1093
2606,1428
2361,1251
1952,997
1950,1015
2159,1090
1953,999
1906,978
1971,1024
2165,1085
3131,1675
2020,1064
1953,1040
1969,1042
2311,1199
1893,975
1889,981
1862,985
1974,1024
2000,1042
1883,972
1904,990
1885,969
1865,959
6842,1177
1932,1000
1865,953
1877,964
2059,1056
2024,1041
2220,1257
1985,1033
1970,1042
2004,1056
2051,1108
2014,1044
1882,971
2216,1090
1943,996
1890,980
1910,972
6931,1152
2874,1430
1852,958
1837,941
1878,956
1903,1010
2125,1174
2024,1059
2029,1080
2232,1150
2280,1174
2456,1189
1937,995
1930,982
2120,1072
2376,1427
7070,1197
2083,1032
2185,1088
2074,1074
2362,1324
2196,1043
2203,1121
2016,1054
1877,980
1849,957
2105,1163
2045,1058
1922,979
1903,978
1889,967
1894,980
1960,980
2885,1469
1859,957
2108,1113
2042,1087
2046,1047
1966,1050
2005,1041
1978,1065
2115,1186
1897,989
1950,1023
1908,976
1888,963
1851,954
1930,1006
1897,967
6855,1172
1893,976
1897,990
1861,963
1886,993
1948,1023
2052,1081
2269,1195
2133,1061
2158,1054
2272,1162
2485,1337
1930,991
1975,1036
2095,1074
1979,1002
7910,1627
2032,1046
2001,1063
2338,1236
1975,1042
2202,1161
1980,1038
1886,995
1896,971
1860,965
2187,1137
2225,1067
1888,988
1864,962
1922,975
1900,975
1924,983
6971,1021
1860,945
1865,966
2082,1073
2097,1132
2087,1126
1970,1025
2295,1192
2287,1185
1993,1078
2010,1008
2041,1103
2094,1129
1939,984
1873,961
2814,1439
7013,1025
1856,953
1867,964
1872,966
1909,996
2071,1061
2239,1181
